Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""342.7_297/01",الحريات العامة في الفكر والنظام السياسي في الاسلام (دراسة مقارنة),"العيلي, عبد الحكيم حسن",الكويت,دار الفكر العربي,1983.0,717,الحقوق الاساسية,23249
"""930_927/04",عقد الجمان في تاريخ أهل الزمان,"العيني, بدر الدين",القاهرة,الزهراء للإعلام العربي,1989.0,685,علم التاريخ العربي,19964
"""297.211/14",عمدة القارئ : شرح صحيح البخاري. المجلد الثاني عشر,"العيني, بدر الدين أبو محمد محمود بن أحمد",بيروت,دار الفكر,,800,حديث البخاري,468
"""297.211/05",عمدة القارئ: شرح صحيح البخاري,"العيني, بدر الدين أبي محمد محمود بن أحمد",بيروت,دار الفكر,,319,حديث البخاري,459
"""82.09/123",مناهج النقد الأدبي بالمغرب خلال القرن الثامن للهجرة.,"الغازي, علال.",الرباط.,كلية الآداب والعلوم الانسانية.,1999.0,759,النقد الأدبي.,29191
"""1:297/58",البيهقي وموقفه من الإلهيات,"الغامدي, أحمد ابن عطية",المدينة,الجامعة الإسلامية بالمدينة المنورة,1982.0,351,فلسفة إسلامية,19818
"""82-9/06",الجريمة والأدب,"الغامدي, علي صالح أحمد",جدة,الدار السعودية للنشر والتوزيع,1987.0,271,الأنواع الأدبية المختلفة,18543
"""801/27",تشريح النص: مقاربات تشريحية لنصوص شعرية معاصرة,"الغذامي, عبد الله محمد",بيروت,دار الطليعة,1987.0,120,اللسانيات,18460
"""37:297/06",الملامح التربوية عند الفرابي,"الغراري, حليمة",الرباط,منشورات المعهد التربوي الوطني,1982.0,26,تاريخ التربية والتعليم الإسلامي,10113
"""964/28 ج1",الساقية الحمراء وادي الذهب,"الغربي, محمد",البيضاء,دار الكتاب,,408,تاريخ المغرب,5131
"""961/07",موريطانيا ومشاغل المغرب الإفريقية,"الغربي, محمد أحمد",الرباط,,1964.0,166,تاريخ شمال افريقيا,908
"""297.4/17",الحكم الشرعي بين النقل والعقل,"الغرياني, الصادق عبد الرحمن",بيروت,دار الغرب الإسلامي,1989.0,401,الفقه والشريعة,22527
"""1:297/75",الحكم الشرعي بين النقل والعقل,"الغرياني, عبد الرحمن",بيروت,دار الغرب,1989.0,401,فلسفة إسلامية: العقل والنقل,23365
"""342/04",القانون الدستوري والنظم السياسية,"الغزال, إسماعيل",بيروت,المؤسسة الجامعية,1987.0,411,القانون الدستوري,18530
"""342.1/07",القانون الدستوري والنظم السياسية,"الغزال, اسماعيل",لبنان,المؤسسة الجامعية للدراسات,1982.0,488,القانون الدستوري,10632
"""16_927/05",كتاب محك النظر في المنطق,"الغزالي, أبو حامد محمد",بيروت,دار النهضة الحديثة,1966.0,149,المنطق الإسلامي,10480
"""297.90/06",المنقد من الضلال ومعه كيمياء السعادة والقواعد العشرة والأدب في الدين,"الغزالي, أبو حامد محمد",,مكتب الجندي,,136,الحضارة والثقافة الإسلامية,617
"""32_927/03",التبر المسبوك في نصيحة الملوك المعروف بنصيحة الملوك,"الغزالي, أبو حامد محمد ابن محمد",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1987.0,402,علوم سياسية,18766
"""297.4/61",كتاب الأربعين في أصول الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار الآفاق الجديدة,1978.0,240,الفقه والشريعة,616
"""297.4/61 مكرر",كتاب الأربعين في أصول الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار الآفاق الجديدة,1978.0,240,الفقه والشريعة,4160
"""297.41/01",المنخول من تعليقات الأصول,"الغزالي, أبو حامد محمد بن محمد",دمشق,دار الفكر,1980.0,540,أصول الفقه,9938
"""297/17",معارج القدس في مدارج معرفة النفس,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار الأفاق الجديدة,1978.0,207,الإسلام,2530
"""297/28",الحكمة في مخلوقات الله,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار إحياء العلوم,1978.0,113,الإسلام,4774
"""297/33 ج1",إحياء علوم الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار المعرفة,,368,الإسلام,502
"""297/33 ج2",إحياء علوم الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار المعرفة,,392,الإسلام,503
"""297/33 ج3",إحياء علوم الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار المعرفة,,418,الإسلام,504
"""297/33 ج4",إحياء علوم الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار المعرفة,,556,الإسلام,505
"""297/33 ج5",إحياء علوم الدين,"الغزالي, أبو حامد محمد بن محمد",بيروت,دار المعرفة,,260,الإسلام,506
"""297.3/12",عقيدة المسلم,"الغزالي, محمد",القاهرة,دار الكتب الحديثة,1976.0,288,التوحيد والإيمان,4244
"""297.6/04",فقه السيرة,"الغزالي, محمد",القاهرة,دار الكتب الحديثة,1976.0,502,السيرة النبوية,615
"""297.6/04 مكرر",فقه السيرة,"الغزالي, محمد",القاهرة,مطبعة حسان,1988.0,508,السيرة النبوية,21302
"""297.9/25",تراثنا الفكري في ميزان الشرع والعقل,"الغزالي, محمد",فيرجينيا,المعهد العالمي للفكر الإسلامي,1993.0,220,الإسلام والعلوم والفكر,26793
"""297.9/25 مكرر",تراتنا الفكري في ميزان الشرع والعقل,"الغزالي, محمد",فيرجينيا,المعهد العالمي للفكر الإسلامي,1993.0,220,الإسلام والعلوم والفكر,26792
"""297.912/03",الإسلام في وجه الزحف الأحمر,"الغزالي, محمد",الكويت,مكتبة الأمل,1966.0,209,الإسلام والعلوم السياسية : الشيوعية,4124
"""297.915/07",خلق المسلم,"الغزالي, محمد",الكويت,دار البيان,1970.0,288,"الآداب, الأخلاق والفضيلة في الإسلام",4712
"""297.95/10",الإسلام والمناهج الإشتراكية,"الغزالي, محمد",القاهرة,دار الكتب الحديثة,,272,الإسلام والقضايا العالمية المعاصرة : الإشتراكية,4623
"""297/115",مشكلات في طريق الحياة الإسلامية,"الغزالي, محمد",قطر,رئاسة المحاكم الشرعية والشؤون الدينية,1982.0,151,الإسلام,15308
"""297/65",ظلام من الغرب,"الغزالي, محمد",القاهرة,دار الإعتصام,1979.0,328,الإسلام,4187
"""82_611/01",الأدب التونسي في العهد الحسني,"الغزي, الهادي حمودة",تونس,الدار التونسية للنشر,1972.0,315,الأدب التونسي,5391
"""297.7/05",الكواكب السائرة بأعيان المئة العاشرة. الجزء الأول,"الغزي, نجم الدين",بيروت,دار الآفاق,1979.0,322,تراجم وأعلام,6927
"""297.7/06",الكواكب السائرة بأعيان المئة العاشرة. الجزء الثاني,"الغزي, نجم الدين",بيروت,دار الآفاق,1979.0,263,تراجم وأعلام,6928
"""297.7/07",الكواكب السائرة بأعيان المئة العاشرة. الجزء الثالث,"الغزي, نجم الدين",بيروت,دار الآفاق,1979.0,350,تراجم وأعلام,6929
"""091:639/01",كتاب ضواري الطير,"الغساني, الغطريف بن قدامة",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986.0,159,مخطوطات: الصيد بالباز,17937
"""17/11",الطرائق الجاذبية في التنقيب,"الغظم, رغدان",دمشق,جامعة دمشق,1992.0,224,الجيوفيزياء: طريقة الجاذبية- التنقيب,24544
"""801.56/23",جامع الدروس العربية. الجزء الأول من ثلاثة أجزاء,"الغلاييني, مصطفى",بيروت,المكتبة العصرية,1978.0,328,النحو العربي,5544
"""297.24/30",التانيس بشرح منظومة الذهبي في أهل التدليس,"الغماري, عبد العزيز بن محمد بن الصديق",بيروت,مؤسسة الرسالة,1984.0,119,الحديث,18754
"""101.9/04",ابن سبعين وفلسفة الصوفية,"الغنيمي التفتازاني, أبو الوفا",بيروت,دار الكتاب اللبناني,1973.0,543,شخصيات فلسفية: ابن سبعين,7694
"""341.24/01",أحكام المعاهدات في الشريعة الاسلامية,"الغنيمي, محمد طلعت",الاسكندرية,منشأة المعارف,1977.0,179,قانون المعاهدات,7931
"""341/18",الغنيمي الوجيز في التنظيم الدولي,"الغنيمي, محمد طلعت",الاسكندرية,منشأة المعارف,1977.0,318,القانون الدولي,9657
"""371/20",نحو تنفيذ استراتيجية التربية العربية: الإجتماع الثالث لوكلاء وزارات التربية العرب: متابعة تنفيد التوصيات الإجتماع الأول والثاني لوكلاء وزارات التربية. صنعاء: 22 - 27 يناير 1983 . وتيقة - 1 -,"الغول, مختار",تونس,المنظمة العربية للتربية والتقافة والعلوم,1983.0,36,التربية والتعليم,13730
"""82-82/39",كتاب التجليات,"الغيطاني, جمال",بيروت,دار الوحدة للطباعة والنشر,1983.0,312,مقالات مختلفة,17330
"""340.11/11",المدخل لدراسة العلوم القانونية. الجزء الثاني: نظرية الحق,"الفاخوري, ادريس",وجدة,دار نشر الجسور,1995.0,254,النظرية العامة للقانون,26955
"""82_091/10",تاريخ الآدب العربي,"الفاخوري, حنا",لبنان,المكتبة البولسية,1116.0,,تاريخ الأدب العربي,5390
"""297.218/01",بلوغ الأماني في التعريف بشيوخ وأسانيد مسند العصر,"الفاداني, محمد ياسين بن محمد عيسى",جدة,دار العزي,1987.0,119,الحديث : المسانيد,18423
"""1:297/112",كتاب الجمع بين رأيي الحكيمين,"الفارابي, أبو النصر",بيروت,دار المشرق,1980.0,113,فلسفة إسلامية: الفلسفة اليونانية,9494
"""1:297/102",كتاب الحروف,"الفارابي, أبو نصر",بيروت,دار المشرق,1970.0,252,فلسفة إسلامية,10339
"""1:297/103",كتاب تحصيل السعادة,"الفارابي, أبو نصر",بيروت,دار الاندلس,1981.0,133,فلسفة إسلامية,13917
"""1:297/117",كتاب أهل المدينة الفاضلة,"الفارابي, أبو نصر",بيروت,دار المشرق,1973.0,187,فلسفة إسلامية,10009
"""1:297/42",كتاب الواحد والوحدة,"الفارابي, أبو نصر",الدار البيضاء,دار توبقال للنشر,1990.0,103,فلسفة إسلامية,20990
"""1:297/82",شرح الفارابي لكتاب أرسطوطاليس في العبارة,"الفارابي, أبو نصر",بيروت,دار المشرق,1986.0,259,فلسفة إسلامية,25439
"""1:297/103 مكرر",كتاب تحصيل السعادة,"الفارابي, ابو نصر",بيروت,دار الاندلس,1981.0,133,فلسفة إسلامية,23625
"""82-1_مغ/15","عباس الجراري باحثا وناقدا : دراسة في كتابه ""الأدب المغربي من خلال ظواهره وقضاياه""","الفارابي, عبد اللطيف",الجديدة,مطبعة نجم الجديدة,1989.0,100,الأدب المغربي,19895
"""82-1_مغ/15 مكرر","عباس الجراري باحثا وناقدا: دراسة في كتابه ""الأدب المغربي من خلال ظواهره وقضاياه","الفارابي, عبد اللطيف",الجديدة,مطبعة نجم الجديدة,1989.0,100,الأدب المغربي,23996
"""633/02",إنتاج المحاصيل الحقلية الجزء النظري,"الفارس, عباس منير",حلب,,1986.0,328,الزراعة الشعبية,25967
"""633/02 مكرر",إنتاج المحاصيل الحقلية الجزء النظري,"الفارس, عباس منير",حلب,,1986.0,320,الزراعة الشعبية,26082
"""633/03",إنتاج المحاصيل الحقلية الجزء العلمي,"الفارس, عباس منير",حلب,,1986.0,206,الزراعة العشبية,26051
"""534/07",الإهتزازات الميكانيكية وديناميك الالات,"الفارس, علي",حلب,جامعة حلب,1990.0,464,الحركات الإهتزازية,26276
"""801.56/58",التكملة وهي الجزء الثاني من الإيضاح العضدي,"الفارسي, أبو علي الحسن بن أحمد",الرياض,عمادة شؤون المكتبات,1981.0,311,النحو العربي,10019
"""633.58/01",محاصيل الألياف,"الفارسي, عباس منير",حلب,,1990.0,404,زراعةالألياف,25956
"""355/01",الأمن القومي الشامل,"الفاروق, البزري",تونس,المنظمة العربية للتربية والثقافة والعلوم,1991.0,30,القانون الإداري,6954
"""03:34/01",المعجم القانوني: عربي - إنجليزي,"الفاروقي, حارث سليمان",بيروت,مكتبة لبنان,1972.0,288,المعجم: القانون,10664
"""297.2/07",إستنزال السكينة الرحمانية بالتحديث بالاربعين البلدانية,"الفاسي الفهري, عبد الحفيظ",تطوان,المطبعة المهدية,1953.0,51,الحديث,861
"""801/21 ج1",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1985.0,187,اللسانيات,16761
"""801/21 ج1 مكرر2",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1988.0,187,اللسانيات,20257
"""801/21 ج2",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1985.0,299,اللسانيات وفقه اللغة,16763
"""801/21 ج2 مكرر",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1988.0,297,اللسانيات,20256
"""801/21 مكرر2",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",البيضاء,دار توبقال للنشر,1988.0,297,اللسانيات,23677
"""801/22 مكرر3",اللسانيات واللغة العربية: نمادج تركيبية ودلالية,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1985.0,187,اللسانيات,23949
"""801/31",المعجم العربي: نمادج تحليلية جديدة,"الفاسي الفهري, عبد القادر",الدار البيضاء,دار توبقال للنشر,1986.0,192,اللسانيات,20264
"""801/37",البناء الموازي : نظرية في بناء الكلمة وبناء الجملة,"الفاسي الفهري, عبد القادر",الدار البيضاء,دارتوبقال للنشر,1990.0,274,اللسانيات,20985
"""964/144",قبيلة بني زروال مظاهر حياتها الثقافية والإجتماعية والإقتصادية,"الفاسي الفهري, محمد البشير بن عبد الله",الرباط,مطبوعات افريقية الشمالية الفنية,1962.0,90,تاريخ المغرب,19991
"""964/27",فبيلة بني زروال: مظاهر حياتها الثقافية والجتماعية والإقتصادية,"الفاسي الفهري, محمد البشير بن عبد الله",الرباط,مطبوعات افريقية الشمالية الفنية,1962.0,123,تاريخ المغرب,855
"""960/13",وصف إفريقيا,"الفاسي الوزان, الحسن بن محمد",الرباط,منشورات الجمعية المغربية للتاليف,1980.0,300,تاريخ إفريقيا,28857
"""916/02 ج1",وصف افريقيا,"الفاسي, الحسن بن محمد الوزان",الرباط,الشركة المغربية للناشرين المتحدين,1982.0,300,جغرافيةافريقيا,408
"""916/03 ج2",وصف إفريقيا,"الفاسي, الحسن بن محمد الوزان",الرباط,الشركة المغربية للناشرين المتحدين,1982.0,,جغرافية إفريقيا,11583
"""297.483/01",آيات سماوية في الرد على كتاب آيات شيطانية,"الفاسي, شمس الدين",الدار البيضاء,دار مايو,1989.0,109,الزندقة,19894
"""92/61",قطب الصوفية في القرن العشرين,"الفاسي, شمس الدين",المحمدية,مطبعة فضالة,1987.0,206,بيوغرافيا,18549
"""297.154/05",الأيات البينات في شرح وتخريج الأحاديث المسلسلات. الجزء الأول,"الفاسي, عبد الحفيظ",,المطبعة الوطنية,,238,الحديث : تفسير,509
"""82-32/21",عمي بوشناق,"الفاسي, عبد الرحمن",الرباط,منشورات وزارة الثقافة,1972.0,138,القصة,6086
"""82-32/21 مكرر",عمي بوشناق,"الفاسي, عبد الرحمن",الرباط,منشورات وزارة الثقافة,1982.0,138,القصة,6087
"""801.56/93",البنى الزمنية واشكالها,"الفاسي, عبد القادر",,منشورات معهد الدراسات والأبحاث للتعريب وجمعية للسانيات,2000.0,254,النحو العربي,28388
"""177.9/01",الحرية,"الفاسي, علال",الرباط,لجنة أحياء تراث زعيم التحرير,1977.0,125,الحرية,5255
"""297.122/59",المدخل لعلوم القرآن والتفسير,"الفاسي, علال",البيضاء,مطبعة الدارالبيضاء,1988.0,142,القرآن : تفسير,18744
"""297.43/15",مقاصد الشريعة الإسلامية ومكارمها,"الفاسي, علال",الدار البيضاء,مكتبة الوحدة العربية,1963.0,279,التشريع الإسلامي,581
"""297.43/23",مقاصد الشريعة الإسلامية ومكارمها,"الفاسي, علال",الدار البيضاء,مكتبة الوحدة العربية,1963.0,288,التشريع الإسلامي,12976
"""297.9/19",أضواء على بعض تعاليم الإسلام,"الفاسي, علال",الدار البيضاء,مطبعة النجاح الجديدة,1978.0,51,الإسلام والعلوم والفكر,5251
"""297/107",محاضرتان عن مهمة علماء الإسلام,"الفاسي, علال",الرباط,مطبعة الأمنية,1973.0,47,الإسلام,10254
"""323.1/02",النقد الذاتي,"الفاسي, علال",الرباط,لجنة نشر تراث علال الفاسي,1979.0,452,الحركات الوطنية,2524
"""323_64/01",رأي مواطن,"الفاسي, علال",الرباط,مطبعة الرسالة,1974.0,470,السياسة الداخلية,16757
"""329.1/01",الحركات الاستقلالية في المغرب العربي,"الفاسي, علال",طنجة,,1948.0,457,الاحزاب السياسية,847
"""33/50",في المذاهب الاقتصادية,"الفاسي, علال",الرباط,لجنة ثراث علال الفاسي,1978.0,197,الاقتصاد السياسي,10616
"""82-1/22",أساطير مغربية ومعربة,"الفاسي, علال",الرباط,مؤسسة علال الفاسي,,69,ديوان شعري,16759
"""964/57",كي لاننسى,"الفاسي, علال",,مطبعة السلام,1973.0,447,التاريخ المغربي,1001
"""964/58",دفاعا عن وحدة البلاد,"الفاسي, علال",,,,410,التاريخ المغربي,1000
"""82-6/06",دواء الموت,"الفاسي, محمد",الرباط,جامعة محمد الخامس,,11,الرسائل,910
"""82-91/13 ق1 ج1",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة المعارف الجديدة,1986.0,343,الأدب الشعبي,22724
"""82-91/13 ق1 ج1 مكرر",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة المعارف الجديدة,,343,الأدب الشعبي,22749
"""82-91/14 ق2 ج1",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة المعارف الجديدة,1987.0,180,الأدب الشعبي,22723
"""82-91/14 ق2 ج1 مكرر",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة المعارف الجديدة,1987.0,180,الأدب الشعبي,22748
"""82-91/15 ج2 ق1",معلمة الملحون,"الفاسي, محمد",الرباط,دار الهلال العربية للطباعة والنشر,1991.0,207,الأدب الشعبي,23957
"""82-91/15 ج2 ق1 مكرر",معلمة الملحون,"الفاسي, محمد",الرباط,دار الهلال العربية للطباعة والنشر,1991.0,207,الأدب الشعبي,23956
"""82-91/16 ج3",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة فضالة,1990.0,388,الأدب الشعبي,22747
"""82-91/16 ج3 مكرر2",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة فضالة,1990.0,388,الأدب الشعبي,22599
"""82-91/16 م3 مكرر1",معلمة الملحون,"الفاسي, محمد",الرباط,مطبعة فضالة,1990.0,388,الأدب الشعبي,22725
"""82-91/17","معلمة الملحون"" في مائة غانية وغانية""","الفاسي, محمد",الرباط,دار الهلال العربية للطباعة والنشر,1997.0,,الأدب الشعبي,27333
"""82-91/19",معلمة الملحون,"الفاسي, محمد",,,,,الأدب الشعبي,26588
"""92/03",محمد بن عثمان المكناسي,"الفاسي, محمد",البيضاء,دار الكتاب,,49,بيوغرافيا,909
"""011/02 ج2",فهرس مخطوطات خزانة القرويين,"الفاسي, محمد العابد",الدار البيضاء,افريقيا الشرق,1980.0,540,بيبليوغرافيا,10148
"""019/06 ج1",فهرس مخطوطات خزانة القرويين,"الفاسي, محمد العابد",البيضاء,دار الكتاب,1979.0,463,فهارس,10149
"""330.11/09",الرياضيات الاقتصادية والادارية,"الفاضل, عبد الرزاق",دمشق,جامعة دمشق,1991.0,,الظواهر والاهداف الاقتصادية,25545
"""330.11/09 مكرر",الرياضيات الاقتصادية والادارية,"الفاضل, عبد الرزاق",دمشق,جامعة دمشق,1991.0,230,الظواهر والاهداف الاقتصادية,25580
"""911.3:711/01",التخطيط الاقليمي,"الفتوى, حسن أمين",,مطبعة دار الكتاب,1990.0,266,جغرافية الاعداد الترابي,24384
"""63/11",مبادئ الإقتصاد الزراعي,"الفتيح, محمد سعيد",حلب,,1981.0,392,الزراعة,25992
"""631/12",محاضرات في الإرشاد الزراعي,"الفتيح, محمد سعيد",حلب,,1983.0,187,الهندسة الزراعية,26063
"""82-1_مغ/24",الفريد في تقييد الشريد وتوصيد الوبيد,"الفجيجي, أبو القاسم بن محمد",الرباط,المعهد الجامعي للبحث العلمي,1983.0,253,الأدب المغربي,12300
"""82-1_مغ/24 مكرر1",الفريد في تقييد الشريد وتوصيد الوبيد,"الفجيجي, أبو القاسم بن محمد",الرباط,المعهد الجامعي للبحث العلمي,1983.0,253,الأدب المغربي,13484
"""82-1_مغ/24 مكرر2",الفريد في تقييد الشريد وتوصيد الوبيد,"الفجيجي, أبو القاسم بن محمد",الرباط,المعهد الجامعي للبحث العلمي,1983.0,253,الأدب المغربي,21369
"""82-1_مغ/24 مكرر3",الفريد في تقييد الشريد وتوصيد الوبيد,"الفجيجي, أبو القاسم بن محمد",الدار البيضاء,مطبعة النجاح الجديدة,1983.0,227,الأدب المغربي,3956
"""930.26/01",الرائد في فن التنقيب عن الآثار,"الفخراني, فوزي عبد الرحمن",بيروت,جامعة قاريونس,1978.0,567,علم الآثار,12880
"""330.191.6/103",مشكلة الغذاء في الوطن العربي والأزمة الإقتصاية العالمية,"الفرا, محمد علي",الكويت,كاظمة للنشر والتوزيع,1985.0,92,الإقتصاد العالمي,26489
"""912/01",الحجاجي سالم علي,"الفرا, محمد علي",خرائط الجمهورية الليبية,أطلس الجماهيرية العربية اللبية الشعبية الإشتراكية حسب مقررات المرحلة الإعدادية والثانوية ومعاهد المعلمين والمعلمات والمعاهد الدينية,,104,,12884
"""297.125/05 ج1",معاني القرآن,"الفراء, أبو زكريا يحيى بن زياد",بيروت,عالم الكتب,1980.0,509,القرآن : تفسير,20353
"""297.125/06 ج2",معاني القرآن,"الفراء, أبو زكريا يحيى بن زياد",بيروت,دار الكتب,1980.0,425,القرآن : تفسير,20354
"""297.125/07 ج3",معاني القرآن,"الفراء, أبو زكريا يحيى بن زياد",بيروت,عالم الكتب,1980.0,393,القرآن : تفسير,20355
"""801.3/04 ج6",كتاب العين,"الفراهيدي, أبو عبد الرحمان",العراق,دار الرشيد,1982.0,326,معاجم لغوية,12536
"""801.3/02 ج3",كتاب العين,"الفراهيدي, أبو عبد الرحمن",العراق,دار الرشيد,1981.0,440,معاجم لغوية,12355
"""801.3/03 ج4",كتاب العين,"الفراهيدي, أبو عبد الرحمن",العراق,دار الرشيد,1982.0,473,معاجم لغوية,12356
"""82_55/04",الشاهنامة : ملحمة الفردوس الكبرى,"الفردوسي, أبو القاسم",بيروت,دار العلم للملايين,1977.0,240,الأدب الفارسي,5407
"""297.4/63",كتاب السير: رواية محمد بن وضاح القرطبي عن عبد الملك بن حبيب المصيصي عنه,"الفزاري, أبو إسحق إبراهيم بن محمد",بيروت,مؤسسة الرسالة,1987.0,436,الفقه والشريعة,25291
"""297.95/03",الإسلام والشباب المعاصر,"الفزازي, محمد",,,1977.0,135,الإسلام والقضايا العالمية المعاصرة : الشباب,4762
"""33/87",مركز الأهرام للترجمة والنشر,الفساد والإقتصاد العالمي,القاهرة,,2000.0,317,الإقتصاد السياسي,28836
"""330.191.6/102",الجوانب الأساسية لعلاقة صندوق النقد الدولي بالدول العربية,"الفقي, فخر الدين",الكويت,بنك الكويت الصناعي,1996.0,71,الإقتصاد العالمي,3935
"""33/81",صناعة التاجير التمويلي مع دراسة تحليلية للسوق المصري,"الفقي, فخري الدين",الكويت,بنك الكويت الصناعي,,88,الإقتصاد السياسي,28215
"""964/213",أبحات مختارة,الفقيهالمنوني,الرباط,منشورات وزارة الشؤون التقافية,2000.0,399,تاريخ المغرب,28216
"""329.3/01",المركز الفلسطيني للدراسات الاقليمية,الفكر السياسي لتحركات الإسلامية: تجربة مصر والأردن وفلسطين,فلسطين,,2000.0,182,الأحزاب السياسية,28604
"""964/216",المقاومةالمغربية للوجود الاسباني بمليلية ( 1697-1859 ),الفكيكي حسن,الرباط,منشورات كلية الآداب والعلوم الانسانية,1997.0,471,تاريخ المغرب,29187
"""1/85",مع الفيلسوف,"الفندي, محمد تابث",بيروت,دار النهضة العربية,1980.0,285,فلسفة,13918
"""1/85 مكرر",مع الفيلسوف,"الفندي, محمد تابث",بيروت,دار النهضة العربية,1974.0,285,فلسفة,23491
"""1/87",فلسفة الرياضة,"الفندي, محمد ثابت",بيروت,دار النهضة العربية,1969.0,197,فلسفة,15174
"""164.3/01",أصول المنطق الرياضي (لوجستيقا),"الفندي, محمد ثابت",بيروت,دار النهضة العربية,1976.0,231,المنطق الرياضي,9139
"""37/09",أصول التربية,"الفنيش, أحمد علي",ليبا - تونس,الدار العربية للكتاب,1982.0,248,التربية والتعليم,12903
"""37/15",التربية بين المجتمع والجامعة,"الفنيش, أحمد علي",ليبيا,المنشأة الشعبية لنشر والتوزيع,1981.0,136,التربية والتعليم,12910
"""37/60",التربية الاستقصائية: معادلة لتسليط أضواء جديدة على العملية التربوية,"الفنيش, أحمد علي",بيروت,الدار العربية للكتاب,1982.0,195,مناهج وطرق التدريس,17105
"""537.3/02",هندسة التوتر العالي - 2 - ( التوليد والقياس ),"الفهد, إحسان",دمشق,مديرية الكتب الجامعية,1989.0,158,التيارات الكهربائية,26315
"""30/24",التاريخ النظري لعلم الإجتماع. الكتاب الأول : سوسيولوجيا الحضارات القديمة: آفاق سوسيولوجية من الشرق والغرب,"الفوال, صلاح مصطفى",القاهرة,دار الفكر العربي,1982.0,318,تاريخ علم الاجتماع,15924
"""297.15/23",الأمثال في القرآن الكريم,"الفياض, محمد جابر",الرياض,الدار العالمية للكتاب الإسلامي,1995.0,460,القرآن: دراسات,26798
"""297.15/23 مكرر",الأمثال في القرآن الكريم,"الفياض, محمد جابر",الرياض,الدار العالمية للكتاب الإسلامي,1995.0,460,القرآن: دراسات,26799
"""82-1/17",شرق الشمس وغرب القمر,"الفيتوري, محمد",الرباط,منشورات المجلس القومي للثقافة العربية,1987.0,222,ديوان شعري,18346
"""53/03",منشورات جامعة دمشق,الفيزياء الحديثة للجامعات,دمشق,,1992.0,299,الفيزياء,24459
"""53/38",جامعة دمشق,الفيزياء الحديثة للجامعات,دمشق,,1992.0,508,الفيزياء,24506
"""53/14 ج2",منشورات جامعة اه حلب,الفيزياء العامة,حلب,,1993.0,401,الفيزياء,24913
"""53/15 ج1",,الفيزياء العامة,حلب,,1991.0,512,الفيزياء,24891
"""53/29",جامعة دمشق,الفيزياء العملية,دمشق,,1992.0,288,الفيزياء,25502
"""37.017.92/01",ثقافة الطفل العربي,"الفيصل, سمر روحي",دمشق,إتحاد الكتاب العرب,1987.0,232,تقافة الطفل: التربية التقافية,23320
"""339.31/12",إذا ماالليل أغرقني,"الفيفي, عبد الله",,,1990.0,99,ديوان شعري,3883
"""82-1/121 مكرر",إذا ما الليل أغرقني,"الفيفي, عبد الله",الرياض,مطابع الشريف,,99,ديوان شعري,3887
"""297.95/13",في سبيل بعث إسلامي,"القادري, أبو بكر",,مطبعة الرسالة,,411,الإسلام والقضايا العالمية المعاصرة,4626
"""297/83",في سبيل وعي إسلامي,"القادري, أبو بكر",البيضاء,مطبعة النجاح الجديدة,1977.0,196,الإسلام,5224
"""964/91",رجال عرفتهم في المغرب والمشرق,"القادري, أبو بكر",الدار البيضاء,مطبعة النجاح,1983.0,326,تاريخ المغرب,13725
"""297.05/13",في سبيل مجتمع إسلامي: توجهات في الفكر والحياة,"القادري, أبوبكر",الدار البيضاء,مطبعة النجاح الجديدة,1986.0,312,المجتمع الإسلامي,28005
"""347.96/01",من مشاكل العدالة,"القادري, أحمد",البيضاء,مطبعة النجاح الجديدة,1977.0,40,التنظيم القضائي,11544
"""342.1/01",الوجيزفي المؤسسات السياسية والقانون الدستوري : النظم السياسية,"القادري, عبد الرحمان",الدار البيضاء,دار النشر المغربية,1982.0,359,القانون الدستورى,9644
